COB1,4,37.366656,-120.423602,37.367002,-120.423993,37.367466,-120.423028,37.367245,-120.422783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIPOSA,4,37.364929,-120.427944,37.365092,-120.428131,37.365737,-120.427262,37.365581,-120.427082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUOLUMNE,4,37.364618,-120.42646,37.365328,-120.427282,37.365479,-120.427073,37.364798,-120.426238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YABLOKOFF-WALLACE DINING CENTER,12,37.364201,-120.427045,37.364534,-120.427438,37.364586,-120.427377,37.364662,-120.427466,37.364795,-120.427295,37.364716,-120.427206,37.364759,-120.427148,37.364819,-120.427213,37.364899,-120.427112,37.364575,-120.426728,37.364499,-120.42682,37.364433,-120.426747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISITOR CENTER,18,37.363822,-120.427592,37.363958,-120.427747,37.364094,-120.427562,37.364142,-120.427614,37.364067,-120.427721,37.364039,-120.427689,37.363952,-120.427798,37.364095,-120.427962,37.364132,-120.427915,37.364233,-120.428029,37.364337,-120.427882,37.36422,-120.42775,7.364364,-120.427546,37.364279,-120.42745,37.364229,-120.42752,37.364173,-120.427458,37.364214,-120.427402,37.364078,-120.427252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCED HALL,4,37.364277,-120.428086,37.364422,-120.428271,37.364695,-120.427904,37.364547,-120.427735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALAVERAS HALL,4,37.36446,-120.428304,37.364614,-120.428483,37.364881,-120.428115,37.364728,-120.427933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JOAQUIN HALL,4,37.364312,-120.428532,37.364444,-120.428688,37.364581,-120.428505,37.364448,-120.428351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANISLAUS HALL,4,37.364006,-120.428505,37.364006,-120.428968,37.364219,-120.428973,37.364217,-120.428505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESNO HALL,4,37.363988,-120.428451,37.364196,-120.428449,37.364198,-120.428232,37.363996,-120.428234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADERA HALL,4,37.363748,-120.428975,37.363956,-120.428975,37.363954,-120.428505,37.363748,-120.428507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
